ambition	n	[[2], [], [], [3], []]	['野心', '', '']
ambitious	j	[[2], [], [], [4], []]	['有野心的、雄心勃勃的', '', '']
ambulance	n	[[1], [], [], [3], [2]]	['救護車', '', '']
ambush	nv	[[3], [], [], [], []]	['埋伏、伏擊', '', '']
amend	v	[[3], [5], [], [5], []]	['修訂、修正(法律文件等)', '', 'amend']
amendment	n	[[3], [5], [], [], []]	['修正案、修訂', '', 'amend']
amends	n	[[3], [], [], [], []]	['賠罪、賠償', '', '']
america	n	[[1], [], [], [7], [1]]	['美國、美洲', '', '']
american	jn	[[1], [], [], [], [1]]	['美國的、美洲的；美國人', '', '']
amiable	j	[[3], [], [], [], []]	['和藹可親的', '', '']
amicable	j	[[3], [], [], [], []]	['友善的、友好的', '', '']
amid	p	[[2], [], [], [6], []]	['在…中', '', '']
amidst	p	[[], [], [], [6], []]	['', '', '']
ammunition	n	[[3], [], [], [], []]	['彈藥', '', '']
amnesty	n	[[3], [], [], [], []]	['赦免、赦免期', '', '']
among	p	[[1], [], [], [2], [2]]	['在...之中、在三者或以上之間', '', '']
amount	n	[[1], [], [], [], [2]]	['數量', '', '']
amount	nv	[[], [], [], [2], []]	['', '', '']
ample	j	[[3], [], [], [5], []]	['足夠的、豐富的', '', '']
amplify	v	[[3], [], [], [6], []]	['擴大、增強', '', '']
amuse	v	[[2], [], [], [4], []]	['逗樂、(使)娛樂', '', '']
amusement	n	[[2], [], [], [4], []]	['愉悅、娛樂(活動)', '', '']
an	a	[[], [], [4], [1], ['1']]	['一個', '', '']
analogous	j	[[], [9], [], [], []]	['', '', 'analogy']
analogy	n	[[3], [9], [], [6], []]	['類比、比喻', '', 'analogy']
analysis	n	[[2], [1], [], [4], []]	['分析', '', 'analyze']
analyst	n	[[2], [1], [], [5], []]	['分析者、化驗員', '', 'analyze']
analytic	j	[[], [1], [], [], []]	['', '', 'analyze']
analytical	j	[[3], [1], [], [6], []]	['分析的', '= analytic', 'analyze']
analytically	b	[[], [1], [], [], []]	['', '', 'analyze']
analyze	v	[[2], [1], [], [4], []]	['分析', '= analyse (British English)', 'analyze']
analyzer	n	[[], [1], [], [], []]	['', '', 'analyze']
ancestor	n	[[2], [], [], [4], []]	['祖先', '', '']
anchor	nv	[[3], [], [], [6], []]	['錨；拋錨、下錨', '', '']
