字彙	詞類	中文	註解	級數	學術字彙	國中字彙	高中字彙
backbone	noun	脊椎、脊骨；支柱、基礎		中高級			L6
background	noun	背景		中級			L3
backing	noun	支持、援助、資助		中高級
backpack	noun/verb	背包；背包旅行		中高級		800	L2
backward	adv./adj.	向後地、倒退地；向後的、倒退的、落後的	adv.= backwards (British English)	初級		800	L2
bacon	noun	培根		中級			L3
bacteria	noun	細菌	bacterium (singular form)	中級			L3
bad	adj.	壞的、不好的、劣質的		初級		1200	L1
badge	noun	徽章、名牌		中高級			L6
badly	adv.	差地、嚴重地；很、非常		初級			L3
badminton	noun	羽毛球		初級		1200	L2
baffle	verb	困惑		中高級
bag	noun	袋子、一袋(的量)		初級		1200	L1
baggage	noun	行李		中級			L3
baggy	adj.	(衣服)寬鬆的、寬大下垂的		中級
bail	noun/verb	保釋金；獲得保釋		中高級
bait	noun/verb	魚餌、誘餌；下誘餌		中級			L3
bake	verb	烘烤		初級		1200	L2
bakery	noun	麵包店		初級		1200	L2
balance	noun/verb	平衡、均衡；保持平衡		中級			L2
balcony	noun	陽台、(劇院的)樓座		初級		1200	L2
bald	adj.	禿頭的		中級			L4
ball	noun	球、球狀物		初級		800	L1
ballet	noun	芭蕾舞、芭蕾舞劇		中級			L4
balloon	noun	氣球		初級		800	L2
ballot	noun/verb	不記名投票、選票；進行不記名投票		中高級			L5
bamboo	noun	竹子		中級			L3
ban	verb/noun	禁止；禁令		中級			L5
banana	noun	香蕉		初級		1200	L1
band	noun	樂團、樂隊；帶、細繩；(數目、年齡、價格等的)範圍		初級		1200	L1
bandage	noun/verb	繃帶；用繃帶包紮		中級			L4
Band-Aid	noun	OK繃	= band-aid	中級
bandit	noun	土匪、盜賊		中高級
bang	noun/verb	重擊、巨響；撞擊、使發出巨響		中級			L3
bank	noun	銀行；堤、岸		初級		1200	L1
banker	noun	銀行家、莊家		初級			L3
banking	noun	處理銀行帳戶事宜、銀行業		中級
bankrupt	adj./verb/noun	破產的；使破產；破產者		中級			L4
bankruptcy	noun	破產		中高級
banner	noun	橫布條、橫幅廣告		中高級			L5
banquet	noun	宴會、盛宴		中高級			L6
bar	noun	條狀物、條紋、欄杆；酒吧、吧檯		初級			L2
bar	noun/verb	障礙；阻擋、禁止		初級			L2
barbarian	noun/adj.	野蠻人、無教養的人；野蠻的、野蠻人的		中高級			L6
barbecue	noun/verb	烤肉、烤肉架、烤肉聚會；燒烤	= Bar-B-Q = BBQ	初級		800	L2
barber	noun	理髮師		初級		800	L2
barbershop	noun	理髮店		中級
bare	adj./verb	赤裸的、無遮蔽的；使赤裸、使暴露		中級			L3
barefoot	adj./adv.	赤腳的；赤腳地		中高級
barely	adv.	僅、剛好、幾乎沒有		中級			L3
bargain	noun	特價品；協議、交易		中級			L4
bargain	verb	特價品、協議；討價還價		中級			L4
barge	noun	大型平底船		中高級
barge	verb	衝撞、亂闖		中高級
bark	verb/noun	吠叫、咆哮；狗吠聲		初級		800	L2
bark	noun	樹皮		初級		800	L2
barn	noun	穀倉		中級			L3
barometer	noun	氣壓計、指標		中高級
barrack	verb	起哄、喝倒采		中高級
barracks	noun	兵營、營房	單複數同形	中高級
barrel	noun	大桶		中級			L3
barren	adj.	貧瘠的、不毛的；不孕的；不結果實的		中高級			L5
barricade	noun/verb	障礙物、(設)路障；阻擋		中高級
barrier	noun	屏障、障礙物、隔閡		中級			L4
base	verb/noun	以...為據點、將總部設在；基地、基底、基礎		初級		800	L2
base	noun	(棒球運動中的)壘		初級		800	L2
baseball	noun	棒球		初級		1200	L1
basement	noun	地下室		初級		800	L3
bash	noun/verb	猛攻、痛擊		中高級
basic	adj.	基本的		初級		800	L2
basically	adv.	基本上		中高級
basics	noun	基礎、基本需要、基本設施		中高級			L2
basin	noun	盆、水盆；流域；船塢、內灣		中級			L4
basis	noun	基礎、根據		初級			L2
basket	noun	籃子、線上購物籃		初級		1200	L1
basketball	noun	籃球		初級		1200	L1
bass	noun/adj.	低音、男低音、低音吉他；低音的		中高級			L6
bastard	noun	討厭鬼、壞蛋		中高級
bastard	noun/adj.	私生子；私生的		中高級
bat	noun	蝙蝠		初級		1200	L1
bat	noun/verb	球棒、球拍；用球棒或球拍擊球		初級		1200	L1
batch	noun	一批		中高級			L5
bath	noun/verb	沐浴、洗澡；(給...)洗澡	動詞=bathe	初級		1200	L1
bathe	verb	(給...)洗澡、浸泡	=bath	初級		800	L2
bathroom	noun	浴室、廁所		初級		1200	L1
battalion	noun	(軍隊的)營部、隊伍		中高級
batter	verb	連續猛擊、毆打		中高級			L6
batter	noun	(棒球的)打擊手；麵糊		中高級			L6
battery	noun	電池		中級			L4
battle	noun/verb	戰爭、鬥爭；作戰、奮鬥		中級			L2
battlefield	noun	戰場		中高級
bay	noun	灣、海灣		中級			L3
bazaar	noun	(某些東方國家的)市集；義賣		中高級
BC	adv.	西元前	= Before Christ	中級
be	verb	是(助動詞)		初級		1200	L1
beach	noun	海灘、湖濱		初級		1200	L1
bead	noun	(有孔的)珠子		中級			L3
beak	noun	鳥喙		中級
beam	noun	光線、光束		中級			L3
beam	verb	照射、發光；高興地微笑、眉開眼笑		中級			L3
bean	noun	豆子、豆莢，豆科植物		初級		1200	L1
bear	noun	熊		初級		1200	L1
bear	verb	承擔、忍受、負荷；具有；生孩子、結果實		初級			L1
beard	noun	鬍鬚		初級		800	L2
bearing	noun	關係、影響；舉止、風度		中高級
beast	noun	(大型或野生的)動物、野獸；粗暴的人、兇殘的人		中級			L3
beat	verb	打敗、戰勝；敲打、攪打		初級		800	L2
beat	noun	跳動聲、擊鼓聲；節拍		初級		800	L2
beautiful	adj.	美麗的、極好的		初級		1200	L1
beautify	verb	美化、裝飾		中高級			L6
beauty	noun	美麗、美人、美好的事物		中級		800	L2
because	conj.	因為	= 'cos = cos = cuz	初級		1200	L1
beckon	verb	招手示意、舉手招喚		中高級
become	verb	成為、變得		初級		1200	L1
bed	noun	床、床位		初級		1200	L1
bedroom	noun	臥室		初級		1200	L1
bedtime	noun	就寢時間		中級
bee	noun	蜜蜂		初級		1200	L1
beef	noun	牛肉		初級		1200	L1
beep	noun/verb	(電子設備的)嘟嘟聲、嗶嗶聲；發出嘟嘟或嗶嗶聲		中高級			L6
beer	noun	啤酒		初級		800	L2
beetle	noun	甲蟲		中級			L3
before	prep./conj./adv.	在…之前、先於；在...以前；曾經、在前		初級		1200	L1
beforehand	adv.	事先、預先		中高級			L6
beg	verb	乞討、請求		中級			L2
beggar	noun	乞丐		中級			L4
beggar	verb	使貧窮、使匱乏		中級
begin	verb	開始、以...起頭		初級		1200	L1
beginner	noun	初學者、新手		初級		800	L2
beginning	noun	開端、起點		初級		800
behalf	noun	作為...的代表、代替...		中高級	L9		L5
behave	verb	表現		初級		800	L2
behavior	noun	行為、舉止	= behaviour (British English)	中級			L4
behind	prep./adv.	在…後面；在背後、在原處、落後於		初級		1200	L1
being	noun	生命、生物；存在、生存		中級			L2
belief	noun	相信、信念、信仰		初級			L2
believable	adj.	可信的		中級
believe	verb	相信		初級		1200	L1
bell	noun	鈴、鐘		初級		1200	L1
belly	noun	腹部、肚子		中級
belong	verb	屬於、應在...地方		初級		1200	L1
belongings	noun	財務、擁有物、行李		中高級			L5
beloved	adj./noun	深愛的、心愛的；愛人、心上人		中高級			L5
below	adv./prep.	在...下面、低於		初級		1200	L1
belt	noun	腰帶		初級		1200	L1
bench	noun	長椅		初級		1200	L1
bend	verb/noun	使彎曲、彎腰；彎曲處、彎道		中級			L2
beneath	prep.	在...下面		中級			L3
beneficial	adj.	有利的、有助的		中級	L1		L5
benefit	noun/verb	利益、好處；對...有幫助、使受惠		中級	L1		L3
bent	adj.	彎曲的、駝背的		中高級
bent	noun	天賦		中高級
berry	noun	莓果		中級			L3
beside	prep.	在...旁邊		初級		1200	L1
besides	prep./adv.	除…之外；此外、而且		初級		800	L3
besiege	verb	包圍、圍困		中高級
best	adv./adj.	最、最適當地；最好的、最適當的		初級			L1
best	noun	最好的人或事		初級			L1
best	verb	打敗、戰勝		初級			L1
bet	noun/verb	賭注；打賭、賭博		中級			L3
betray	verb	背叛、出賣、對...不忠誠		中高級			L5
better	adv./adj.	更、更好地；更好的、好轉的		初級			L2
better	noun	更好的事物、更好者		初級			L2
better	verb	勝過、超過		初級			L2
between	prep.	在…之間		初級		1200	L1
beverage	noun	飲料		中高級			L6
beware	verb	小心、提防		中高級			L5
bewilder	verb	使困惑		中高級
beyond	prep./adv.	遠於、超出；在更遠處		初級		800	L2
bias	noun/verb	偏見、偏袒；對...懷有偏見		中高級	L8		L5
Bible	noun	聖經		中級
bibliography	noun	參考書目、文獻目錄		中高級
bicycle	noun	腳踏車	= bike	初級		1200	L1
bid	noun/verb	出價、投標、努力爭取		中級			L5
big	adj.	大的、年齡較大的、重大的		初級		1200	L1
bilateral	adj.	雙邊的、雙方的		中高級			L6
bill	noun/verb	鈔票、帳單；開立帳單		初級		800	L2
bill	noun	議案、法案		初級		800	L2
billion	noun	十億		中級			L2
bin	noun	垃圾箱、容器、箱子		中級			L4
bind	verb	綑綁、包紮		中級			L3
binding	adj.	必須遵守的，有法律約束力的		中高級
binding	noun	(書籍的)封皮、鑲邊		中高級
bingo	noun	賓果遊戲		中級
binoculars	noun	雙筒望遠鏡		中高級
biochemistry	noun	生物化學		中高級
biography	noun	自傳		中級			L4
biological	adj.	生物的、生物學的、親生的		中高級			L5
biology	noun	生物學		初級		800	L4
bird	noun	鳥		初級		1200	L1
birdie	noun	小鳥		中高級
birdie	noun/verb	(高爾夫球)小鳥擊、比標準桿少一桿入洞		中高級
birth	noun	出生、起源		中級			L2
birthday	noun	生日		初級		1200
biscuit	noun	餅乾、小麵包		中級			L2
bit	noun	稍微、小塊、少量、一點點		初級			L2
bitch	noun	母狗；[冒犯]壞女人、潑婦		中高級
bitch	verb	說壞話		中高級
bite	verb/noun	咬、叮		初級		1200	L1
bitter	adj.	有苦味的、(天氣)嚴寒的、怨恨的、令人不快的		初級		800	L3
bizarre	adj.	怪誕的、異乎尋常的		中高級			L5
black	adj./noun	黑色的；黑色		初級		1200	L1
blackboard	noun	黑板		初級		1200	L2
blacksmith	noun	鐵匠		中高級
blade	noun	刀片、刀刃；(機器上旋轉的)槳片、槳葉；(草的)葉片		中高級			L4
blame	verb/noun	責備		初級		800	L2
bland	adj.	清淡的、平淡乏味的		中高級
blank	adj./noun	空白的；空白處、空格		初級		1200	L2
blanket	noun/verb	毛毯、毯子；以厚層覆蓋		初級		1200	L2
blare	verb/noun	發出響亮刺耳的聲音；響亮刺耳的聲音		中高級
blast	noun/verb	炸毀、爆破；爆炸		中高級			L5
blast	noun/verb	(突然發出的)響聲；發出巨大聲響		中高級			L5
blast	noun	狂風、強勁的氣流		中高級			L5
blaze	verb/noun	熊熊燃燒；大火、烈火、火焰		中高級			L6
blaze	verb/noun	閃耀、發亮光；燦爛		中高級			L6
bleach	verb/noun	漂白、使褪色；漂白劑		中高級			L6
bleak	adj.	荒涼的、陰冷的、暗淡無望的		中高級
bleed	verb	流血		中級			L3
blend	verb/noun	混合、使交融；混合物		中級			L4
bless	verb	為…祝福		中級		800	L3
blessing	noun	祝福、祝頌；幸事、好事		中級			L4
blind	adj./verb	失明的、盲目的；使失明、蒙蔽		初級		1200	L1
blink	verb/noun	眨眼睛		中級			L4
blizzard	noun	暴風雪		中高級
bloc	noun	(政治利益類似的)集團、陣營		中高級
block	noun	街區；大樓；大塊；堵塞物、障礙物		初級		1200	L1
block	verb	堵塞；阻擋；擋住；妨礙		初級		1200	L1
blockade	noun/verb	包圍、封鎖		中高級
blonde	adj./noun	金色頭髮的；金髮女郎	= blond	中級			L6
blood	noun	血液、血統		初級		800	L2
bloody	adj.	流血的、血腥的		中級			L3
bloom	noun/verb	花；開花、綻放		中級			L4
blossom	noun/verb	花朵；開花		中級			L4
blot	noun/verb	墨水漬、汙點；把墨水濺到、弄髒		中高級			L6
blot	verb	(用軟紙或布)吸乾液體		中高級			L6
blouse	noun	女襯衫		初級		800	L3
blow	verb	吹；吹奏；擤鼻子；炸毀；爆裂		初級		1200	L1
blow	noun	吹；吹奏(樂器)；擤(鼻子)；重擊；打擊		初級		1200	L1
blue	adj./noun	藍色的；藍色		初級		1200	L1
blue	adj.	悲傷的、憂鬱的		初級		1200	L1
blues	noun	藍調(音樂)		中高級
blunder	noun/verb	粗心或愚蠢的錯誤；犯大錯		中高級
blunt	adj.	(鉛筆、刀等)鈍的、不鋒利的；直率的、直截了當的		中高級			L6
blunt	verb	使變鈍、減弱		中高級			L6
blur	noun/verb	模糊；使模糊不清		中高級			L5
blush	verb/noun	臉紅		中級			L5
board	verb/noun	上(交通工具)；在船上(或其他交通工具)		初級		800	L2
board	noun	木板、牌子、佈告欄、黑板或白板、棋盤		初級		800	L2
board	noun	董事會、理事會		初級		800	L2
board	verb/noun	寄宿、住校；(住宿處提供的)伙食、膳食		初級		800	L2
boast	verb/noun	吹噓、自誇		中級			L4
boat	noun	船		初級		1200	L1
bob	verb/noun	(在水中)快速上下擺動、快速移動；快速點頭或鞠躬		中高級
bob	verb/noun	(水中)快速擺動；(女)齊短髮、快速點頭		中高級
bodily	adj.	人體的、身體的		中高級			L6
bodily	adv.	移動全身地；親身地；全體地、整體地		中高級			L6
body	noun	身體、軀幹、屍體		初級		1200	L1
bodyguard	noun	保鑣		中高級			L5
bog	noun	沼澤		中高級
boil	verb	(水等)沸騰		初級		1200	L2
boiling	adj.	炙熱的		中高級
bold	adj.	大膽的、勇敢無畏的；醒目的、粗體的		中級			L3
bolster	verb	加強、支撐、改善		中高級
bolster	noun	長靠枕		中高級
bolt	noun	(門窗的)閂、螺栓；閃電、霹靂		中高級			L5
bolt	verb	閂上、用螺栓固定；(因受到驚嚇而)快跑、奔跑		中高級			L5
bomb	noun/verb	炸彈；投彈於、轟炸		初級		800	L3
bombard	verb	轟炸、大量信息轟炸		中高級
bomber	noun	轟炸機、轟炸者		中高級
bond	noun/verb	聯繫、關係；結合、建立關係		中級	L6		L4
bondage	noun	束縛、奴役		中高級
bone	noun	骨頭		初級		800	L2
bonus	noun	津貼、獎金		中高級			L5
bony	adj.	骨的、骨瘦如柴的		中級
book	noun	書、簿冊		初級		1200	L1
book	verb	預訂、預約		初級		1200	L1
bookcase	noun	書架、書櫃		初級		800	L3
booking	noun	預約、預訂		中級
booklet	noun	小冊子		中級			L6
bookshelf	noun	書架		中級
bookstore	noun	書店	= bookshop (British English)	初級		1200	L2
boom	noun/verb	繁榮、增長、迅速發展		中高級			L5
